customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00058,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),43.51,7062.86,Yes
CUST00059,Female,1,Yes,No,31,Yes,No,No,Yes,No internet service,No,No,No,Yes,Two year,No,Bank transfer (automatic),73.35,8177.89,No
CUST00060,Female,0,Yes,Yes,44,No,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,48.55,5821.26,No
CUST00061,Male,0,No,Yes,59,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),72.83,1631.55,Yes
CUST00062,Male,1,Yes,No,61,No,No phone service,No,No internet service,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),109.7,1161.03,Yes
CUST00063,Male,1,No,No,34,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,99.87,4747.31,No
CUST00064,Female,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.23,4211.83,Yes
CUST00065,Male,0,No,No,50,No,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),61.52,2640.38,No
CUST00066,Female,1,Yes,No,60,No,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),98.9,8313.27,Yes
CUST00067,Female,1,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.17,1204.01,Yes
CUST00068,Male,0,No,Yes,33,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,One year,No,Mailed check,56.89,8215.5,No
CUST00069,Male,1,Yes,Yes,13,No,No,No,No internet service,No internet service,No,Yes,Yes,Yes,Two year,No,Electronic check,79.66,395.67,No
CUST00070,Male,1,Yes,Yes,20,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,Yes,One year,Yes,Mailed check,90.77,4786.07,No
CUST00071,Male,0,Yes,No,68,No,Yes,DSL,No internet service,No internet service,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),35.99,8173.24,No
CUST00072,Male,1,No,No,71,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,One year,No,Credit card (automatic),25.38,422.28,Yes
CUST00073,Female,1,No,Yes,44,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,74.24,8161.49,Yes
CUST00074,Female,1,Yes,Yes,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),80.19,6298.59,Yes
CUST00075,Male,0,No,No,24,No,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),68.77,3748.14,No
CUST00076,Male,1,No,No,11,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),28.38,3395.36,Yes
CUST00077,Female,1,Yes,Yes,45,No,No,No,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,110.26,8520.28,No
CUST00078,Male,0,No,No,1,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No,One year,No,Bank transfer (automatic),97.63,4795.25,No
CUST00079,Male,0,No,No,20,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,67.94,5923.93,No
CUST00080,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,91.87,421.89,Yes
CUST00081,Male,1,No,No,68,No,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,34.19,5793.01,Yes
CUST00082,Female,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,One year,No,Mailed check,56.11,4085.47,No
CUST00083,Female,1,No,No,56,Yes,Yes,DSL,No,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),44.14,2576.56,Yes
CUST00084,Male,0,No,No,7,No,No,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.63,1996.73,No
CUST00085,Female,1,Yes,Yes,51,No,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Electronic check,89.12,5606.45,No
CUST00086,Male,1,Yes,Yes,15,No,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.61,6696.87,Yes
CUST00087,Male,1,Yes,No,54,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),26.3,957.31,Yes
CUST00088,Male,1,No,No,21,No,Yes,No,No internet service,No,Yes,No internet service,No,No internet service,One year,No,Electronic check,92.95,7256.98,Yes
CUST00089,Male,0,Yes,No,32,No,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,104.6,3681.0,Yes
CUST00090,Male,0,No,No,36,No,No,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,96.45,1542.38,No
CUST00091,Female,1,Yes,Yes,58,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,76.24,1012.56,Yes
CUST00092,Female,0,No,No,69,Yes,No phone service,DSL,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),61.29,6630.72,No
CUST00093,Male,0,Yes,Yes,60,No,No phone service,No,No,No,No,No internet service,No,Yes,One year,No,Mailed check,93.54,1902.64,Yes
CUST00094,Female,1,No,No,37,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),74.45,523.83,No
CUST00095,Male,0,No,No,45,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,54.35,2096.69,No
CUST00096,Male,0,Yes,Yes,53,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,No,Mailed check,103.1,3092.5,Yes
CUST00097,Female,0,No,No,64,No,No,No,Yes,No,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),44.02,2518.48,Yes
CUST00098,Female,1,No,Yes,26,No,No,No,No,No,Yes,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),25.7,5080.58,No
CUST00099,Female,0,Yes,No,33,Yes,No phone service,No,No,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),20.65,975.54,No
CUST00100,Male,0,No,Yes,40,No,Yes,DSL,No internet service,No,No,No internet service,No,Yes,Two year,No,Mailed check,36.97,6776.47,No
CUST00101,Male,1,No,Yes,71,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,77.05,5689.88,No
CUST00102,Female,1,No,No,21,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,No,One year,Yes,Mailed check,92.16,6737.61,Yes
CUST00103,Female,1,No,Yes,44,No,No phone service,No,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Electronic check,111.07,5715.24,Yes
CUST00104,Male,1,Yes,Yes,55,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),75.36,8304.56,No
CUST00105,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,One year,No,Mailed check,100.71,2399.67,Yes
CUST00106,Male,1,Yes,No,59,No,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,105.36,5999.35,No
CUST00107,Male,1,No,No,56,No,No,Fiber optic,Yes,No,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),38.53,8456.05,No
CUST00108,Female,1,Yes,No,20,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),112.12,5695.45,Yes
CUST00109,Male,1,Yes,Yes,52,Yes,No phone service,No,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,99.17,2088.45,No
CUST00110,Male,1,No,No,55,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),115.35,5177.42,No
CUST00111,Female,1,Yes,Yes,50,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,No,Mailed check,42.45,3889.68,No
CUST00112,Female,0,No,No,6,No,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),90.81,6474.4,Yes
CUST00113,Female,1,No,No,58,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Credit card (automatic),32.27,122.18,Yes
CUST00114,Female,1,Yes,No,13,No,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),87.01,1490.92,Yes
CUST00115,Female,1,No,Yes,17,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),80.39,4957.45,No
CUST00116,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),73.2,8428.41,Yes
CUST00117,Male,1,No,Yes,27,No,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,64.52,2957.07,No
CUST00118,Male,1,Yes,Yes,71,No,No,DSL,No internet service,No,Yes,Yes,No,No,One year,No,Mailed check,73.83,7778.45,No
CUST00119,Male,1,No,No,45,Yes,No,No,No internet service,No,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),85.28,3677.79,No
CUST00120,Female,0,Yes,No,48,No,No,No,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,78.23,895.65,Yes
CUST00121,Female,1,Yes,No,69,No,Yes,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),80.82,5774.1,Yes
CUST00122,Male,0,Yes,Yes,45,No,No,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.0,7961.0,No
CUST00123,Female,0,Yes,Yes,25,Yes,No phone service,No,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,57.91,3094.29,Yes
CUST00124,Male,1,Yes,Yes,7,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,One year,No,Credit card (automatic),107.64,4992.41,No
CUST00125,Male,1,Yes,Yes,10,No,Yes,DSL,No,Yes,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),30.66,8129.49,No
CUST00126,Male,1,Yes,No,12,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Electronic check,87.83,5301.99,Yes
CUST00127,Female,0,No,No,49,No,No phone service,DSL,Yes,No internet service,Yes,No,Yes,No internet service,One year,Yes,Electronic check,27.16,6335.34,No
CUST00128,Male,0,Yes,Yes,33,No,Yes,No,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),74.48,7975.95,No
CUST00129,Female,1,Yes,Yes,56,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),79.9,775.4,Yes
CUST00130,Male,1,Yes,No,54,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),95.38,5882.62,No
CUST00131,Male,1,No,Yes,38,Yes,Yes,No,Yes,No internet service,No internet service,No,No,Yes,Two year,No,Electronic check,115.1,7743.13,No
CUST00132,Female,0,Yes,No,31,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),23.77,5604.07,Yes
CUST00133,Male,1,Yes,No,51,Yes,No,DSL,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,59.35,957.63,Yes
CUST00134,Male,0,No,No,21,No,Yes,DSL,No,No,No internet service,Yes,Yes,No,One year,Yes,Mailed check,71.58,6319.52,No
CUST00135,Female,1,No,Yes,11,No,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Two year,No,Electronic check,114.37,1995.4,Yes
CUST00136,Male,0,No,Yes,11,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),53.86,859.13,No
CUST00137,Male,0,Yes,Yes,19,Yes,No,No,Yes,Yes,Yes,No internet service,No,No,One year,Yes,Mailed check,108.78,3290.42,Yes
CUST00138,Female,0,Yes,Yes,30,No,No phone service,No,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),23.48,2121.13,Yes
CUST00139,Male,0,Yes,Yes,37,Yes,No phone service,No,No,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,53.46,1144.84,Yes
CUST00140,Female,1,Yes,Yes,34,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,94.17,952.74,No
CUST00141,Female,0,No,Yes,38,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,58.35,6105.92,No
CUST00142,Male,0,No,No,4,No,Yes,DSL,Yes,No internet service,No,No internet service,No,No,One year,Yes,Electronic check,74.62,4394.23,No
CUST00143,Male,1,No,Yes,44,Yes,No phone service,No,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,20.92,896.83,No
CUST00144,Female,0,Yes,No,50,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),66.71,691.7,No
CUST00145,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),95.66,7333.47,Yes
CUST00146,Male,1,Yes,Yes,64,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,66.18,5457.69,Yes
CUST00147,Female,0,No,Yes,44,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,36.31,4360.67,No
CUST00148,Female,1,No,Yes,20,No,No,No,No,No,No internet service,No,No,No,One year,No,Mailed check,74.11,4630.29,Yes
CUST00149,Female,1,Yes,No,35,No,No,Fiber optic,No,No,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),109.32,7977.23,No
CUST00150,Male,0,Yes,No,31,No,No,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,82.29,410.01,Yes
CUST00151,Female,0,No,No,50,No,Yes,No,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Mailed check,81.85,8276.76,Yes
CUST00152,Female,0,No,Yes,15,No,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),44.54,5395.08,No
CUST00153,Male,0,No,Yes,2,No,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),40.09,7312.22,Yes
CUST00154,Male,0,Yes,Yes,48,No,Yes,DSL,No,No internet service,No,Yes,No internet service,Yes,Two year,No,Electronic check,94.65,8799.79,Yes
CUST00155,Male,0,Yes,No,33,No,No phone service,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),44.03,4483.31,Yes
CUST00156,Female,1,Yes,Yes,58,Yes,No,DSL,Yes,No internet service,No internet service,No,No internet service,No,Two year,Yes,Electronic check,23.62,2958.73,Yes
CUST00157,Female,1,Yes,No,47,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,25.83,5334.69,Yes
CUST00158,Female,0,No,Yes,71,No,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),28.03,3337.08,No
CUST00159,Female,1,No,No,17,No,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,119.91,2419.0,No
CUST00160,Male,0,No,Yes,64,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Mailed check,78.83,2906.76,Yes
CUST00161,Male,0,Yes,No,46,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,105.51,7760.93,No
CUST00162,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,29.99,5045.5,No
CUST00163,Female,1,Yes,Yes,14,No,Yes,DSL,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,64.34,5370.93,Yes
CUST00164,Female,0,Yes,No,27,Yes,Yes,No,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),73.62,1531.88,No
CUST00165,Female,1,No,No,47,No,No,DSL,No,No,No internet service,Yes,Yes,Yes,One year,Yes,Credit card (automatic),29.26,8346.49,No
CUST00166,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Credit card (automatic),65.89,5753.21,No
CUST00167,Male,1,Yes,Yes,63,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),43.56,5848.67,Yes
CUST00168,Female,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,47.1,684.53,No
CUST00169,Female,0,No,No,49,No,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),99.63,558.46,Yes
CUST00170,Female,0,No,No,50,No,Yes,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),66.16,8146.17,Yes
CUST00171,Male,1,No,No,31,No,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),38.2,1540.82,Yes
CUST00172,Female,0,No,No,1,No,No,No,Yes,No internet service,No,No internet service,No,No,One year,No,Credit card (automatic),41.43,8048.91,Yes
